omega = 1.00	omega = 0.96	omega = 0.92	omega = 0.88
1.44377876356822	NaN	NaN	NaN
3.69684219658530	NaN	0.264918134792731	1.37864370125301
0.969028054396864	NaN	NaN	0.0857933367151737
6.43604319625890	NaN	0.894291137161974	2.79539209061662
0.729723518454484	0.867106849770033	0.732486766212477	0.626832081606728
1.15149944061320	NaN	NaN	NaN
1.44253532054217	0.540974979463712	NaN	NaN
0.952171369878004	NaN	NaN	NaN
0.617408598250986	0.637274941816115	NaN	NaN
NaN	NaN	0.598960128989087	1.06112929963889
1.06206056577582	NaN	1.19129246972693	NaN
1.60119449626181	NaN	3.66269262197079	NaN
NaN	NaN	NaN	NaN
0.292102850312837	NaN	NaN	NaN
4.43920665083943	NaN	1.97931038153873	1.16482218215170
5.38155553891479	NaN	0.268042249242893	0.647649732499116
0.541772661001846	NaN	0.138733895372883	0.639299695770085
NaN	1.30758626451473	0.667274197338592	NaN
NaN	1.43280552219181	0.563089730934449	0.528153651163837
0.0498426135262692	0.441178979246533	1.84895409024689	0.292920025539491
NaN	NaN	NaN	0.128611102705521
1.16390685136944	0.103820879188929	NaN	NaN
0.0179403906501669	NaN	NaN	NaN
0.488420773269062	1.76993622861392	0.0847538681396798	NaN
5.71856878158884	0.609685578396126	0.259920989498894	NaN
0.877923310355324	3.24478715592542	NaN	NaN
1.32378631886826	NaN	NaN	NaN
2.87450610310759	NaN	NaN	0.353661057140551
0.470731962521287	0.346615615144944	NaN	0.825951721324145
0.688264092257170	1.56273819040554	NaN	NaN
0.697281291259748	NaN	0.550195136950098	NaN
0.749784249396105	NaN	NaN	NaN
0.109378913965201	1.27919866791877	0.500067556276245	4.60352206766225
2.18223193624191	NaN	NaN	NaN
NaN	0.252509090870395	0.0767123051793715	0.452104017139076
2.33129974365820	NaN	NaN	1.08113127271129
0.562417042845196	NaN	1.35371600122846	NaN
3.77516113375223	NaN	1.15185136674882	NaN
3.69355644568556	3.09773327838098	2.27117671366519	0.0233677401058712
NaN	0.563434512208938	0.171610195723611	NaN
3.37084441630288	NaN	NaN	NaN
0.197733272283682	0.565665194027140	0.925831077817675	0.0213301525031445
NaN	0.404376874924227	NaN	NaN
6.16564274125596	0.738556148238802	0.167353655222323	NaN
0.331515040669370	NaN	NaN	NaN
0.243959492706279	NaN	0.984175405786078	NaN
2.51874362182631	0.553944296718728	1.06485911008784	0.0210576793402615
NaN	1.38729207137167	NaN	NaN
NaN	0.677414163954486	NaN	1.07032520607282
2.36082273253505	0.236235681018387	0.0402581707978530	NaN
0.664228598483277	0.440699422897788	NaN	NaN
3.58130672624974	NaN	NaN	0.864781732197266
0.468392746193730	0.515871043899911	NaN	NaN
5.40298829060737	2.95350811967423	0.000452955089225223	NaN
NaN	NaN	NaN	NaN
0.357773259471606	1.65131763198000	0.0623257826705251	NaN
NaN	NaN	0.308812828234731	NaN
1.24503818557669	NaN	NaN	NaN
0.485103684490954	NaN	NaN	0.467591915649835
NaN	NaN	NaN	NaN
4.03367620736694	0.0316727082035089	NaN	NaN
0.0222264560441709	NaN	1.41415639665024	1.37685246558512
3.34120401578353	0.265150519946668	NaN	4.51070297333460
0.163230261711183	NaN	NaN	NaN
0.347094655809452	NaN	NaN	0.780957022382270
4.48823425786785	0.772659340893179	0.768319023713800	NaN
0.358126288820276	0.335413117940544	1.30514310264439	NaN
0.564407718657115	NaN	NaN	NaN
1.00702232556090	0.743216239729286	NaN	0.140046816552074
0.898323567038341	1.31497014053634	0.483259140393502	NaN
3.77441551194528	2.03052250581041	0.497865195819680	NaN
2.17773616314207	5.67871230807250	NaN	NaN
0.751688836728312	NaN	NaN	NaN
0.126720823881211	1.91365307933586	NaN	NaN
0.810754956502342	NaN	NaN	NaN
NaN	NaN	NaN	NaN
0.696019016496801	0.116369370181167	NaN	NaN
NaN	1.99797612318520	NaN	NaN
5.02930140521537	NaN	1.80107418014196	NaN
NaN	0.112488430913716	1.38258178728493	0.153889555182047
2.16331810981788	0.134953296586763	NaN	NaN
4.78564297790427	0.269618357339973	3.78652149309093	1.23207125393199
1.34796956893404	NaN	NaN	0.643613622186392
0.617128330130778	1.71632009412902	0.172046298551992	NaN
NaN	NaN	NaN	NaN
3.21737129009764	3.98303267439262	0.291246496465423	NaN
0.901319133258825	0.971860102889570	NaN	0.0652322595834166
0.0931660025302818	0.304497553841883	0.138504230344684	NaN
0.466332911216435	NaN	NaN	NaN
1.05629334597521	NaN	NaN	0.510884379051668
0.528356398209871	1.63952171820369	NaN	NaN
3.61085932018572	NaN	NaN	0.0809758006040156
0.211970513794903	NaN	NaN	NaN
2.13576786782529	NaN	NaN	NaN
NaN	NaN	NaN	NaN
2.63476767909536	0.744820934792414	NaN	0.580539193944998
5.97938267776778	NaN	1.27534437315348	NaN
1.11286788104899	NaN	NaN	NaN
1.39945996839063	2.71050276889135	0.168597141559377	0.796562047121971
0.0414238481352100	2.31167392650034	3.94996771761584	NaN
3.12345010394681	NaN	0.203708620196029	0.0306123782786406
1.02030782196193	0.237218690170118	0.770116368928179	NaN
0.316783387764856	4.70972292734510	0.174140244190258	NaN
5.08715420409033	0.263841550280379	NaN	0.425508771759497
0.125124511905042	NaN	NaN	0.485450983699792
NaN	2.73581717410830	1.92269072058456	NaN
8.68363410749956	1.70897056155840	NaN	0.802500986993195
NaN	0.176984060841686	2.00446357869799	1.00335433538313
3.37340784369743	3.62166051263808	NaN	NaN
0.503287139573192	NaN	3.09323583150742	NaN
0.364445512945693	NaN	5.26827854170510	0.749350488575502
7.16077883803919	NaN	0.0279864447448924	0.124846228227293
NaN	1.41132222847850	0.576642398831367	NaN
0.140929316366770	0.620564354421293	0.0815377141080611	NaN
3.95067876339138	2.37498608457645	NaN	NaN
2.66652240601283	NaN	NaN	NaN
0.0290533984704037	NaN	0.598902663758743	NaN
4.75123928431860	NaN	2.46043286020158	NaN
1.09313936482028	NaN	4.41916866371469	NaN
1.89326272921890	NaN	2.32406263187954	NaN
2.88340580515797	2.13458714795986	1.05454139919826	1.37429571782899
5.42684037137215	NaN	NaN	NaN
0.767212551246683	3.37455716364576	NaN	1.75735838387922
7.07524822927950	0.492055611212579	1.03042714056912	0.244588545602882
9.91735201916995	NaN	1.42517890214696	NaN
4.32537297990287	NaN	NaN	NaN
2.85468754401690	1.22461490709394	NaN	NaN
1.38148409294426	2.00775576039324	NaN	NaN
2.25417244939069	NaN	NaN	NaN
0.402612735062607	1.99770077346124	NaN	0.531962013767366
1.03177211295939	0.639105666514644	NaN	NaN
NaN	0.237936638486613	1.59231510849273	NaN
1.34694201057839	NaN	NaN	NaN
1.25847611093823	NaN	1.58288800358331	NaN
8.29271521140449	NaN	0.155761113534491	0.202085084671190
7.42820222266679	NaN	NaN	1.24302780213471
NaN	0.173418060235359	0.518362052287715	NaN
1.64385632586648	2.88616826174150	NaN	0.920439440932452
0.731092313421798	1.42907642961688	NaN	NaN
0.518539927067727	2.39986665636549	NaN	NaN
1.09869970017503	1.54297149804909	NaN	0.283305954603358
1.03501984406253	NaN	NaN	NaN
NaN	NaN	NaN	NaN
0.717496181329867	0.300192405169154	0.539029130236815	NaN
1.19325730778854	0.530348165034849	0.574805939357047	0.0416465331423242
0.968458817377662	1.33708782494519	NaN	2.61402789273411
0.278938699124609	NaN	1.63626276986650	NaN
3.59441130934809	0.0400700680016286	NaN	NaN
1.85576709079200	NaN	NaN	NaN
2.68813015606377	0.0568313862032768	0.828737818331924	0.428011715859619
0.0224067699908604	1.48904394076077	NaN	1.16284505712505
1.68122121017746	0.0837843638663959	NaN	NaN
0.394132548660594	NaN	NaN	NaN
2.36611208930309	NaN	NaN	NaN
0.0527815554986085	NaN	NaN	0.0873973966958452
0.701733552890722	3.42271784279565	NaN	NaN
8.87564308179640	NaN	NaN	0.000116941230436302
0.348130847981326	NaN	0.192974488066820	NaN
0.217436789780118	NaN	0.480208914001596	NaN
0.553184556365198	1.98060728371769	1.34748121001613	NaN
3.19466088218371	3.06872564642672	NaN	0.124042926442597
2.21689353334161	NaN	0.0911693395093333	2.46829705564446
0.771588465642296	0.261631626964969	1.72617531603300	1.99675001318881
1.58169177932671	NaN	NaN	NaN
NaN	0.143206617294172	NaN	NaN
0.342874704377681	NaN	0.266087524991897	NaN
3.69232617508427	0.0216056999667148	NaN	NaN
0.485233036414521	NaN	NaN	NaN
5.89950072820560	0.897853747604876	NaN	NaN
0.181549874740649	0.104420329125978	2.24071502864469	1.34182377468769
0.263984479966555	NaN	1.66275855042460	NaN
1.16162268441178	NaN	NaN	NaN
0.138584903127298	0.673778317744167	0.0531731514032356	0.118721373317401
3.21826203785278	NaN	NaN	3.06329742144529
2.17463447822376	NaN	0.0704438142760955	NaN
4.30242478946380	NaN	NaN	NaN
0.808001848711228	1.58863014897845	0.227799124194104	0.0489655424123345
1.95120652372992	NaN	NaN	0.0397575627579510
0.0128115011463943	0.680714293168212	1.01501672078798	1.28155565779578
NaN	NaN	NaN	NaN
0.663840939796761	NaN	1.17373188475026	NaN
1.04702062991054	0.218076134052164	NaN	0.267212591608547
0.747635225619694	0.280643948420014	NaN	NaN
0.0797255620032017	3.10051719387319	NaN	NaN
7.09100557428812	NaN	NaN	0.0110276391781416
1.50822633443437	4.43247261149310	NaN	0.466029005483802
0.169096409487068	0.313759429584286	NaN	NaN
1.91092494401169	2.59379530456889	0.242025235360756	2.14194846429491
0.642340305979911	2.79881262771008	1.79085226485898	NaN
0.895855478861051	0.795876558149176	NaN	NaN
0.624235237729664	0.306304452239487	0.999204782916084	NaN
4.47020291106018	0.584900578288373	NaN	NaN
